Grade	Subject	Mandatory	Details
2	Music	No	"Grade 2 music builds on rhythm and pitch skills. Rhythm: Students can clap or play rhythms that include quarter notes (ta) and eighth-note pairs (ti-ti) in patterns. They learn to differentiate rhythm patterns and might learn simple notation symbols for these rhythms (in a very basic way). Pitch and Melody: They expand their repertoire of songs, including folk songs or cultural songs appropriate for children. They practice matching pitch more accurately and may begin singing rounds or echoes (one group starts a simple melody, another joins in later) to develop listening skills. Some basic introduction to musical concepts occurs: high vs low pitch, fast vs slow tempo, loud vs soft dynamics – and students demonstrate these (e.g. singing a song loudly, then softly). They explore more classroom instruments: xylophones or glockenspiels may be introduced so they can play simple melodies or at least strike specific bars to accompany a song. By year’s end, students can perform a memorized song with confidence, keep a steady beat on percussion while singing, and identify a few instruments by sound (piano, drum, trumpet perhaps through listening exercises). They also experience creating their own small music patterns – like improvising a two-note melody or a simple rhythm to express an idea."
2	Physical Education (PE)	No	"Continue developing physical abilities. In Grade 2, students refine locomotor skills: running with changes of speed, jumping with control (jumping and landing on two feet, hopping on one foot farther, etc.), and dodging obstacles. They also practice kicking and striking skills – for example, kicking a stationary ball toward a goal, hitting a ball off a tee with a bat or paddle – to improve coordination. Games: They can participate in very simple team games that involve cooperation, like relay races or “passing the ball” games, learning sportsmanship and following slightly more complex rules than in Grade 1. They are introduced to basic concepts of fitness: understanding that exercise makes their heart beat faster and that stretching can be good for muscles. Dance/Movement: They might learn simple folk dances or movement sequences to music, which helps with rhythm and balance. By end of Grade 2, children should be able to throw and catch a medium-sized ball consistently, balance on one foot for a longer time, and perform a series of movements (like jump, turn, clap, skip) in order. They also show cooperative behavior—taking turns, encouraging teammates—and understand the concept of fair play. Safety is emphasized (e.g. looking where they run, using equipment properly). Overall, they gain greater control over their movements and can engage in structured play with peers."
3	English (Literacy)	Yes	"In Grade 3 (Cambridge Stage 3), students transition from learning-to-read to reading-to-learn. Reading: They are introduced to a wider range of literature including fantasy stories, myths and legends, and plays. They not only read the texts but also begin to discuss them: by the end of Grade 3, students can identify key characters and describe basic story plots, and they start to infer meanings (e.g. how a character feels, even if not stated explicitly). They practice reading silently for longer passages, as well as reading aloud with appropriate phrasing. Writing: There’s a strong focus on improving handwriting in Grade 3; students work on writing more neatly and fluently in cursive or joined-up letters. They learn to write structured paragraphs, for instance a story with a clear beginning, middle, end, adding details about characters and settings. Their grammar usage grows: they start using more complex sentences, including noun phrases (e.g. “the large, brown dog” instead of just “the dog”) and correct usage of past, present, and future tenses. They are expected to use punctuation such as commas in lists and apostrophes for common contractions (can’t, don’t). Speaking/Listening: Grade 3 students take part in group discussions, learning to consider others’ viewpoints and take turns speaking. They might give a short presentation or recitation (like reading a poem aloud to the class or doing a short role-play from a play script). They listen to their peers and can summarize in their own words what someone else said. By the end of Grade 3, students are increasingly confident readers and writers: they can independently read and understand a chapter-book appropriate to their age, and write a coherent story or report of a few paragraphs. Their spoken language is more organized and they can express ideas or retell events with some detail."
3	Mathematics	Yes	"In Grade 3, students solidify fundamental arithmetic and expand into new areas. Number and Operations: They confidently work with numbers up to 1,000. By the end of Grade 3, students can recite numbers up to 200 and beyond, and place them in order. They add and subtract 3-digit numbers (often using techniques like carrying/borrowing) reliably. Multiplication & Division: Grade 3 has a strong focus on multiplication tables. Students are expected to master the 2×, 3×, 5×, and 10× times tables, and typically also learn 4× (and possibly 6×) by year’s end. They use these facts to solve multiplication problems (e.g. 4 × 7) and are introduced to basic division as the inverse of multiplication (e.g. knowing 5 × 6 = 30 so 30 ÷ 5 = 6). Fractions: They learn to compare and order simple fractions and find basic equivalents (e.g. recognizing that 2/4 is the same as 1/2). They might place fractions on a number line or find which of two fractions is larger using visual models. Data Handling: Students begin developing data skills – they collect simple data (like students’ favorite fruits) and learn to organize it into charts. They interpret tally charts, pictograms, and bar charts, answering questions like “Which category has the most/least?”. They may also encounter Venn diagrams with two overlapping categories to sort objects or numbers, and interpret simple findings from them. Geometry & Measurement: Students identify properties of shapes: e.g. recognize different types of triangles (perhaps by angles or sides), rectangles vs. other quadrilaterals, etc. They learn the concept of perimeter (calculating the distance around a shape) and might be introduced to area by counting square units. They tell time to the nearest 5 minutes and solve time problems involving hours and minutes differences. They also begin using standard units more consistently – cm, m for length; g, kg for weight; L, mL for volume – and convert simple amounts (like 100 cm = 1 m). By the end of Grade 3, students have a “strong understanding” of the number system and basic operations, know key multiplication facts by heart, and can apply math in practical ways such as reading graphs or measuring objects. This foundation prepares them for the larger numbers and more complex operations of Grade 4."
3	Science	Yes	"Grade 3 science (Cambridge Stage 3) introduces new concepts and builds on earlier ones. Biology: Students delve into life processes of living things, learning basic functions such as nutrition, movement, and reproduction in animals. For instance, they might learn the needs of plants (light, water, soil) and how plants reproduce through seeds, or learn how animals have babies (mammals vs. egg-laying animals) – simple life cycles like frog (egg to tadpole to frog) or butterfly (caterpillar to butterfly) could be covered. They also study how living things are adapted to their environment (e.g. fish have gills to breathe in water). Physics: A major new topic is forces and motion. Students investigate how forces like push, pull, and friction affect movement. They might do experiments like dragging objects on different surfaces to see where they move easier or slower, learning that friction can slow things down. They learn that forces can change an object’s speed or shape (like squeezing a sponge changes its shape). Magnetism is introduced: students discover that magnets attract certain metals and have poles, and they explore simple uses of magnets (like a compass or fridge magnet). Chemistry: They focus on material properties. Students compare materials by qualities (hard/soft, shiny/dull, flexible/rigid, waterproof/absorbent, etc.). They test materials to see which are good for certain purposes (e.g. which fabric is best to repel water). Additionally, Grade 3 often introduces that some changes to materials are reversible and some are not, in a basic way (e.g. dissolving sugar in water vs. frying an egg). Scientific Skills: Throughout these topics, students carry on developing inquiry skills – making predictions, doing simple tests, and recording results in structured ways (maybe filling in a basic results table or bar chart with teacher’s help). They start to grasp the concept of a “fair test” (changing one factor at a time). By the end of Grade 3, students have a more systematic understanding of science: they can explain simple cause and effect (like “Friction makes it harder for the toy car to move”), identify characteristics of living things, and group materials or living organisms based on properties (e.g. magnetic vs non-magnetic, plants vs animals). This stage bridges the concrete observations of earlier years with more explanatory frameworks (introducing terms like friction, magnet, nutrition, etc.)."
3	Global Perspectives (Cambridge)	No	"In Stage 3 of Global Perspectives, students begin to broaden their view from local to more regional or global issues in a simple way, and enhance their collaboration and evaluation skills. They might undertake projects such as “Looking after Planet Earth” at an introductory level – for example, investigating how children can help keep their school or neighborhood clean, and comparing it with what kids do in another country (pen-pal or video exchange with a class abroad discussing recycling). Research: By Grade 3, students can collect information from easy sources – like reading a simple chart or interviewing classmates – and sort that information. For instance, they might do a small survey (with teacher help) about classmates’ recycling habits and create a pictogram of results. Analysis: They learn to identify patterns or differences in their data (e.g. “More students walk to school than take the bus” in our class vs another school’s class). Reflection: Students are encouraged to reflect on why differences exist (perhaps cultural or contextual reasons) – though at this age, explanations are basic. Communication: They practice presenting what they found in a group poster or short talk, learning to speak clearly and use perhaps one visual aid (like showing a drawing or chart). Collaboration: They take on roles in a team (one student draws, another writes, another speaks) to accomplish the challenge. By the end of Grade 3, learners can engage in a group inquiry on a global topic relevant to them, use simple data to support their ideas, and appreciate that the same issue (like caring for the environment, or healthy eating) might be viewed or handled differently in another community. They are essentially embedding the six skill strands (research, analysis, evaluation, reflection, collaboration, communication) at a beginner level across broader topics."
3	Computing / ICT	No	"In Grade 3, students begin to use technology more independently and learn foundational concepts of computer science. General ICT: They regularly use computers for schoolwork – for example, typing a short story or report in a word processor (learning to use basic formatting like bold or underline), or doing a simple slide show with a few slides (perhaps inserting an image). They learn file management basics: opening/saving files, understanding that their work is stored as a file. Internet Skills: Under supervision, they might perform a simple child-friendly web search (e.g. using a curated safe search engine or web directory to find information about a topic like “rainforests”) and learn how to identify useful information. This comes with reinforcement of internet safety: knowing to never give personal information online, only visiting teacher-approved sites, and telling an adult if they encounter anything uncomfortable. Coding/Computational Thinking: Grade 3 often introduces a more formal coding environment – such as Scratch Jr. or the full Scratch interface – where students create simple programs. They learn the concept of a loop (repeating actions) and perhaps a basic conditional (if-then) in very simple terms (e.g. “if the character hits the wall, then it will turn”). A typical task could be programming a sprite (character) to move in a square or respond to arrow keys. They also start debugging by finding and fixing errors in a short sequence of instructions. Logical reasoning: They predict what a given simple program will do (“I think this set of instructions will make the cat draw a triangle”). By the end of Grade 3, students should be able to produce a basic animation or interactive story using code blocks, use the computer to create and present information (like a short text with an image), and understand how to be safe and responsible digital citizens."
3	Art & Design	No	"Grade 3 art encourages more creativity and introduces formal artistic concepts. Techniques: Students learn techniques such as shading to create light and dark areas in a drawing (e.g. they might shade a circle to look like a sphere), and texture in painting (using brush strokes or sponges to create different effects). They experiment with color values by adding white (tints) or black (shades) to colors. Drawing: They practice drawing people with more accurate proportions (for instance, a human figure with discernible head, body, limbs in more correct relation). Perspective: A simple notion of perspective may be introduced – like objects drawn smaller appear farther away. Media: They use a variety of media: beyond pencil and paint, they might do printmaking (potato prints or simple linocuts under supervision), weaving crafts, or more advanced sculpture (a clay pot or a mask). Art appreciation: Students might learn about an art piece or style from Greek culture (e.g. geometric patterns in ancient Greek art) or another culture, and then create artwork inspired by that style. They could also be introduced to one or two famous artists (like Pablo Picasso or Frida Kahlo) and attempt artworks in those styles, learning terms like abstract or portrait. Creative process: By the end of Grade 3, students are better at planning and executing art projects – e.g. sketching an idea first, then making the final artwork. They can talk about their work and others’: they might give a simple critique (“I like how you used bright colors” or “Next time I want to make the background more detailed”). They are building confidence in self-expression, with improved fine motor skills and awareness of art elements like color, form, texture, and space."
3	Music	No	"In Grade 3, music education often introduces formal musical notation and more complex performance skills. Pitch and Notation: Students may learn the basics of reading music on the treble clef staff. For instance, they might learn the notes of the C major scale on a staff (do-re-mi… up to do) and understand the correspondence to simple instrument notes (like playing recorder or xylophone). Many schools introduce the recorder around this age: students learn how to produce clear notes on a recorder and play simple melodies (e.g. “Hot Cross Buns”) using notes like B-A-G. They learn to read those notes on sheet music. Rhythm: Students work with rhythmic notation including quarter notes, eighth notes, half notes, and rests. They can clap and count out rhythm patterns (1-2-3-4, etc.) and may play them on percussion instruments within an ensemble. They learn to maintain a steady beat even when others have different rhythms (beginning of polyphonic ensemble skills). Ensemble and Harmony: They might sing rounds or canons in three or four parts, which develops the ear for harmony. They could also be assigned simple ostinato patterns (repeating background patterns) on xylophones or percussion while others sing, learning to hold their part. Musical Concepts: Introduce dynamic markings (forte = loud, piano = soft) and tempo markings (allegro, andante as concepts of fast/slow) and have students demonstrate understanding by playing or clapping accordingly. Music Appreciation: Students listen to longer or more complex pieces of music (maybe a short classical piece like a movement from “The Four Seasons”) and discuss imagery or feelings the music evokes. They learn to identify some instruments by sight and sound (violin, trumpet, drums, etc.), possibly through an “instrument families” lesson. By the end of Grade 3, many students can play a basic instrument melody, read simple music notation (at least rhythms and a few pitches), and sing in tune both unison and simple harmony. They also have a broader exposure to musical styles and are developing an attentive listening habit."
3	Physical Education (PE)	No	"Grade 3 PE often begins to resemble organized sports basics while still focusing on skill development. Sport Skills: Students practice skills for sports like soccer (football) – dribbling a ball with feet, passing to a partner; basketball – bouncing (dribbling) a ball and making simple chest passes; and other sports like tennis or badminton – hitting a balloon or lightweight ball with a racket to a partner to develop hand-eye coordination. They aren’t playing full games yet, but they are learning the fundamental movements used in sports. Gymnastics/Dance: Many curricula introduce basic gymnastics in Grade 3: students learn to perform a sequence that could include a roll (tumble), a balance, and a jump. For instance, they might learn a forward roll, a cartwheel (with help), or a bridge. They practice these on mats with attention to form and safety. In dance, they could learn a choreographed routine incorporating various movements (could be folk dance steps or a simple modern dance). Physical Fitness: Students might start structured exercises (like short runs, relay races, circuits of activities) and learn concepts like endurance, strength, flexibility in very kid-friendly terms. They might even do simple fitness tests (how many jumping jacks in a minute, etc.) to set personal goals. Teamwork and Rules: By the end of Grade 3, children are expected to follow game rules more independently and understand concepts of teamwork and strategy at a basic level (for example, spacing in a game – not crowding the ball, communicating with teammates by calling for the ball). They also learn sportsmanship: congratulating others, handling winning or losing gracefully. Health Education: Some programs include basic health knowledge – the importance of warm-up and cool-down, drinking water, basic anatomy like knowing the heart pumps blood faster during exercise. Overall, a Grade 3 student should show improved coordination (e.g. can catch a small ball with one hand, or kick a moving ball), agility, and the ability to link skills into sequences. They are more confident in a variety of physical activities and understand how practice leads to improvement."
4	English (Literacy)	Yes	"Reading: By Grade 4 (Cambridge Stage 4), students read confidently and begin developing personal reading preferences. They explore longer texts and various genres, both silently and aloud. They read chapter books independently, tackle factual texts (like simple science or history book chapters) and can summarize or identify the main idea and supporting details. They also practice reading with expression, especially through performing play scripts in class, which improves their speaking and interpretive skills. Writing: Writing becomes more refined and creative. Students are encouraged to use interesting and descriptive language – they learn about using strong verbs and vivid adjectives to add detail to their writing. They write multiple-paragraph compositions: stories with richer plots, descriptive essays about a person or place, and basic informational reports (like a short research paragraph about an animal or country). They learn punctuation like quotation marks for dialogue, and how to organize writing into paragraphs with a clear structure (topic sentence, supporting sentences). Grammar lessons cover more complex structures – for example, proper use of commas in complex sentences, distinction between plural and possessive forms (dogs vs. dog’s), and possibly an introduction to present perfect vs. simple past differences in context. Speaking/Listening: Grade 4 students often engage in more formal speaking tasks. They might prepare a short presentation on a topic (e.g. “My Hobby” or a book report) and deliver it to the class, practicing clear speech and eye contact. When reading plays or doing group discussions, they work on speaking loudly and clearly enough for others to hear. They also practice active listening skills: after listening to a peer’s presentation, they should be able to ask a relevant question or recall key points. Literacy Analysis: By the end of Grade 4, in addition to basic comprehension, students start to discuss why characters might have acted a certain way or how an author creates an effect (e.g. “This story made me feel excited because of the words the author used”). They might not use formal literary terms yet, but they recognize elements like setting, conflict, resolution. In summary, by the end of Grade 4, students are competent readers and writers with a growing vocabulary and the ability to use language effectively to inform or entertain. Their written work shows voice and better organization, and their oral communication is more poised and structured."
4	Mathematics	Yes	"Grade 4 mathematics (Cambridge Stage 4) ramps up to larger numbers and more advanced operations while laying groundwork for fractions/decimals. Number sense: Students work with numbers up to 10,000 and beyond. By end of Grade 4, they should comfortably read and write numbers into the ten-thousands and know the place value for each digit. They can quickly identify multiples of common numbers (like is 3,450 a multiple of 5? Yes, because it ends in 0) and recognize patterns (e.g. a number is divisible by 10 if it ends in 0, by 5 if it ends in 0 or 5). Multiplication & Division: They learn to multiply two-digit by one-digit numbers and three-digit by one-digit (like 345 × 7) and to divide three-digit numbers by one-digit (including some with remainders). Times tables mastery extends to all tables up to 10×10 (if not already achieved) and often up to 12×12 by end of year. Fractions and Decimals: They find fractions of quantities (e.g. 1/3 of 21) and learn more fractions equivalences (like 1/2 = 2/4 = 5/10). They also encounter mixed numbers and improper fractions in simple contexts. Decimals are introduced, especially in the context of tenths and hundredths (often via money or measurements, e.g. 0.5 as 1/2 or 0.75 as 3/4). By year’s end, they understand the connection between simple fractions and decimals (like 0.25 = 1/4). Geometry: Students learn about angles and basic geometric constructions. They identify lines of symmetry in shapes and draw symmetrical figures. They learn what geometric nets are (flattened 2D patterns that fold into 3D shapes) and practice visualizing how a net becomes a 3D object. They also classify triangles (equilateral, isosceles, right) and quadrilaterals (square, rectangle, parallelogram, etc.) by properties, and might learn to measure and draw angles with a protractor (starting with easy angles like 90°, 45°). Measurement: Converting between units becomes a focus: e.g. converting cm to m, m to km, g to kg (within the same system), and understanding the relationship (100 cm = 1 m, etc.). They solve problems involving perimeter (all grades by now) and are introduced to area – counting squares and eventually using length × width for rectangles. Time problems might include using the 24-hour clock and calculating intervals across noon or midnight. Data: They interpret and perhaps draw more complex bar graphs and begin to use line graphs for simple data sets (like temperature change over a week). They also calculate averages at a basic level (the term “mean” might come in Grade 5, but in Grade 4 they might intuitively find the average by equalizing or using simple numbers). By the end of Grade 4, students have progressed in arithmetic fluency (including long multiplication and basic long division), understand foundational fraction/decimal ideas, and can apply these to real-world contexts. They have the tools to tackle multi-step problems and explain their reasoning. In short, Grade 4 math sets the stage for the more abstract and higher-value concepts (like advanced fractions, volume, percentages) coming in Grade 5."
4	Science	Yes	"In Grade 4 science (Cambridge Stage 4), students delve deeper into each scientific discipline and refine their investigative skills. Scientific Inquiry: At this level, students are expected to pose questions and formulate simple hypotheses. They learn to design a fair test (e.g. when testing how light affects plant growth, keep all factors same except amount of light) and systematically record results – often presenting findings in charts or graphs. Importantly, they learn to identify patterns in the data and draw conclusions like “The plant with more light grew taller”. Chemistry – States of Matter: A key new topic is understanding solids, liquids, and gases and how they can change state. Students learn the properties of each state and observe examples: water freezing/melting, water boiling into steam, etc. They also explore how some changes are reversible (melting/freezing water) and some are irreversible (burning paper, mixing ingredients and baking a cake). Physics – Electricity & Magnetism: Building on earlier introduction, Grade 4 covers simple electric circuits thoroughly. Students use wires, batteries, bulbs, and switches to make a circuit and learn terms like current, circuit, conductor, insulator. They experiment with series circuits (connecting two bulbs, understanding both need a closed circuit to light) and with switches (open = off). They identify materials that conduct electricity vs. those that don’t. Magnetism is revisited with a bit more depth (the idea of magnetic field might be qualitatively mentioned), and sound is also revisited – perhaps discussing how sound travels (vibrations) and experimenting with making sound louder or softer, higher or lower. Physics – Light: They learn about how light travels in straight lines, how shadows form and change size, and basics of reflection (maybe using mirrors to bounce light) – though light might be emphasized more in some curricula in Grade 4 or Grade 5. Biology – Human Body: Grade 4 biology often introduces human anatomy basics. Students learn about the skeletal system, muscles, and perhaps organs. They might learn the names and functions of major bones (skull protects brain, ribcage protects heart and lungs, etc.) and muscles (heart is a muscle, muscles move bones). This ties into nutrition and health: understanding we need calcium for bones, exercise for muscles. They could also cover classification of living things at a simple level (grouping animals into mammals, birds, reptiles, etc., and plants into categories), to deepen understanding from earlier grades. Environment/Ecology: They might study ecosystems like pond life or forest, understanding food chains (producer, consumer, predator, prey relationships) – though food chains might also be Grade 5 content. By the end of Grade 4, students have a more analytical approach to science. They can conduct an experiment with multiple trials, present their findings in a simple chart or report, and base their conclusions on evidence. They have gained core knowledge: how the human body is structured, how electrical circuits work, and what matter is made of. This prepares them for upper primary where they’ll study life cycles, chemistry of mixtures, more complex forces, and so on."
